,Düz,Otomatik,YarıOtomatik,Dizel,Benzin/Lpg,Benzin,1300ccvealtı,1601-1800cc,1301-1600cc,6001ccveüzeri,ArabaYıl,Fiyat,Km
155,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2018,69.2,91.0
156,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2017,23.0,91.5
157,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2016,112.0,91.5
158,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2017,71.0,91.75
159,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,66.0,91.85
160,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,76.0,91.85
161,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,43.0,91.85
162,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,34.0,92.0
163,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2016,101.0,92.0
164,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2018,17.0,92.0
165,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2017,46.0,92.85
166,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2017,46.0,92.85
167,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,118.0,92.95
168,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2018,46.0,93.499
169,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,75.0,93.95
170,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2018,66.523,94.5
171,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2017,82.0,94.85
172,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2015,46.5,95.0
173,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2018,24.0,95.5
174,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,38.0,95.85
175,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,50.0,95.85
176,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,76.0,95.85
177,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,25.0,95.85
178,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,84.0,96.0
179,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2018,58.5,96.5
180,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,204.0,96.5
181,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2016,65.0,96.75
182,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,66.0,96.85
183,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2016,93.0,96.95
184,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2018,3.5,97.0
185,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2017,32.0,97.0
186,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2018,17.0,97.0
187,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2018,3.5,97.0
188,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2018,44.0,97.5
189,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2015,102.0,97.5
190,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,59.0,97.9
191,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2018,61.0,97.9
192,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2018,61.0,97.9
193,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2015,143.0,97.9
194,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2017,46.5,98.0
195,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2015,128.0,99.0
196,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,90.0,99.85
197,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2019,0.0,99.95
198,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,114.0,99.95
199,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2018,77.0,99.999
200,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,104.0,101.0
201,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2019,20.0,101.5
202,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,51.4,101.75
203,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,51.4,101.75
204,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2019,12.0,102.0
205,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2020,6.5,102.5
206,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2019,15.0,102.5
207,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,53.0,102.5
208,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,78.0,102.85
209,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,84.0,102.85
210,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2018,55.0,103.75
211,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,79.0,103.85
212,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,119.0,103.9
213,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,136.0,104.5
214,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,193.0,104.9
215,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,125.0,105.0
216,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2018,60.0,105.0
217,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2019,19.0,105.0
218,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,77.0,105.5
219,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2017,61.0,105.5
220,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2019,20.0,105.75
221,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,220.0,105.75
222,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,97.0,105.9
223,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2019,7.2,106.0
224,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,80.0,107.9
225,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,167.0,108.5
226,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,113.0,108.7
227,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2018,66.0,108.85
228,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2017,175.0,108.9
229,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,181.0,109.0
230,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,140.0,109.0
231,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2018,15.0,109.0
232,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2019,13.0,109.5
233,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,142.0,109.9
234,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,98.0,109.9
235,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2017,64.0,110.85
236,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2018,16.0,110.85
237,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,85.0,110.85
238,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,117.0,111.0
239,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,160.0,111.5
240,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2018,77.0,111.5
241,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2018,66.0,111.75
242,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,105.0,111.95
243,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2015,159.0,112.0
244,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2019,5.6,112.5
245,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2016,195.0,112.5
246,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2018,24.0,112.5
247,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,70.0,112.75
248,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,201.171,112.75
249,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,152.0,112.75
250,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2016,92.0,112.75
251,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,110.0,112.85
252,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,86.0,112.85
253,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2017,78.0,112.85
254,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2018,37.0,112.9
